,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,2,9,18,47,161
Fitness,6,10,32,48,171
MacDonalds,1,1,1,2,7
Convenience,8,15,43,40,193
Elec_Charge,4,5,16,14,70
Clinic_OS,3,9,10,24,80
