,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,3,10,18,13,161
Fitness,14,3,12,27,171
MacDonalds,1,0,1,1,7
Convenience,10,10,22,31,193
Elec_Charge,4,2,11,11,70
Clinic_OS,8,2,8,15,80
