,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,7,17,34,39,161
Fitness,18,12,36,46,171
MacDonalds,0,0,1,1,7
Convenience,9,15,38,52,193
Elec_Charge,2,3,19,14,70
Clinic_OS,4,6,15,20,80
