,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,4,18,10,161
Fitness,2,14,8,18,171
MacDonalds,0,1,0,2,7
Convenience,4,10,13,28,193
Elec_Charge,0,6,5,15,70
Clinic_OS,2,7,6,10,80
