,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,2,7,21,43,161
Fitness,6,6,39,49,171
MacDonalds,1,1,0,3,7
Convenience,8,15,43,45,193
Elec_Charge,4,6,14,16,70
Clinic_OS,3,7,12,24,80
