,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,3,8,18,46,161
Fitness,6,9,34,49,171
MacDonalds,1,1,0,3,7
Convenience,8,15,44,40,193
Elec_Charge,4,5,16,14,70
Clinic_OS,3,8,11,24,80
